participant_id,trial_index,task,mapping,phase,block,target_pos_x,target_pos_y,timestamp,current_pos_x,current_pos_y,left_button_pressed,middle_button_pressed,right_button_pressed
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,3.571,-45.0,-810.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,3.588,-45.0,-810.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,3.604,-45.0,-810.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,3.621,-45.0,-809.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,3.638,-45.0,-809.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,3.654,-45.0,-809.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,3.671,-44.0,-809.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,3.683,-44.0,-809.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,3.7,-44.0,-808.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,3.716,-44.0,-808.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,3.733,-44.0,-808.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,3.75,-43.0,-808.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,3.766,-43.0,-808.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,3.783,-43.0,-807.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,3.799,-42.0,-807.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,3.816,-42.0,-807.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,3.833,-42.0,-807.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,3.85,-41.0,-807.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,3.866,-41.0,-808.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,3.883,-41.0,-808.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,3.899,-41.0,-809.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,3.916,-41.0,-809.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,3.935,-41.0,-810.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,3.95,-41.0,-810.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,3.966,-41.0,-810.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,3.983,-41.0,-811.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,3.999,-41.0,-811.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,4.016,-41.0,-811.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,4.033,-42.0,-810.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,4.049,-42.0,-810.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,4.067,-42.0,-808.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,4.083,-42.0,-805.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,4.1,-42.0,-796.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,4.116,-42.0,-790.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,4.133,-42.0,-765.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,4.15,-42.0,-754.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,4.167,-42.0,-741.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,4.183,-42.0,-727.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,4.2,-42.0,-706.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,4.217,-42.0,-697.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,4.233,-42.0,-688.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,4.25,-42.0,-682.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,4.267,-42.0,-680.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,4.283,-42.0,-674.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,4.3,-42.0,-668.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,4.317,-42.0,-659.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,4.333,-42.0,-648.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,4.35,-42.0,-631.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,4.366,-42.0,-618.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,4.383,-43.0,-601.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,4.4,-43.0,-589.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,4.416,-43.0,-577.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,4.433,-43.0,-561.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,4.45,-43.0,-549.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,4.466,-43.0,-533.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,4.483,-43.0,-521.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,4.5,-43.0,-510.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,4.516,-43.0,-499.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,4.533,-43.0,-483.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,4.55,-43.0,-470.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,4.566,-43.0,-457.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,4.583,-43.0,-438.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,4.6,-43.0,-423.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,4.617,-43.0,-402.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,4.633,-43.0,-387.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,4.65,-43.0,-373.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,4.666,-43.0,-360.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,4.683,-43.0,-343.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,4.7,-43.0,-327.0,0,0,0
25rd,327,reaching,direct,Post-Test,1,-26.05,768.62,4.716,-43.0,-314.0,0,0,0
