participant_id,trial_index,task,mapping,phase,block,target_pos_x,target_pos_y,timestamp,current_pos_x,current_pos_y,left_button_pressed,middle_button_pressed,right_button_pressed
26ri,181,reaching,reversed,Training,2,-26.05,768.62,1.596,-41.0,-815.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,1.612,-41.0,-815.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,1.629,-41.0,-815.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,1.645,-41.0,-815.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,1.662,-41.0,-815.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,1.679,-41.0,-815.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,1.696,-41.0,-815.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,1.712,-41.0,-815.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,1.729,-41.0,-815.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,1.745,-41.0,-815.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,1.762,-41.0,-815.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,1.779,-41.0,-815.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,1.796,-41.0,-816.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,1.812,-41.0,-816.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,1.829,-41.0,-816.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,1.845,-41.0,-816.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,1.862,-41.0,-816.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,1.879,-41.0,-816.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,1.895,-41.0,-816.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,1.912,-41.0,-816.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,1.929,-41.0,-816.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,1.945,-41.0,-816.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,1.962,-41.0,-816.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,1.979,-41.0,-816.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,1.996,-41.0,-812.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.013,-41.0,-803.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.029,-41.0,-794.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.046,-41.0,-778.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.062,-41.0,-763.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.079,-41.0,-748.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.096,-41.0,-732.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.113,-42.0,-709.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.129,-42.0,-690.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.146,-42.0,-671.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.162,-42.0,-645.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.179,-42.0,-624.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.196,-41.0,-596.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.212,-41.0,-574.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.229,-41.0,-551.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.246,-40.0,-525.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.262,-40.0,-492.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.28,-40.0,-457.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.296,-40.0,-429.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.312,-40.0,-402.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.329,-40.0,-375.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.346,-40.0,-339.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.363,-40.0,-306.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.379,-40.0,-275.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.396,-40.0,-251.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.412,-40.0,-227.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.43,-40.0,-195.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.446,-40.0,-173.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.462,-40.0,-151.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.479,-40.0,-130.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.496,-40.0,-101.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.512,-40.0,-79.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.529,-40.0,-51.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.546,-40.0,-31.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.562,-40.0,-13.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.58,-40.0,9.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.596,-40.0,25.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.613,-40.0,46.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.629,-40.0,61.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.646,-40.0,75.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.663,-40.0,88.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.679,-40.0,104.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.696,-40.0,117.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.713,-40.0,131.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.73,-40.0,152.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.746,-40.0,168.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.763,-40.0,187.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.779,-40.0,200.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.798,-40.0,216.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.813,-40.0,224.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.829,-40.0,239.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.846,-40.0,250.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.863,-40.0,264.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.879,-40.0,274.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.896,-40.0,285.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.913,-40.0,300.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.929,-40.0,311.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.946,-40.0,324.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.963,-40.0,332.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.979,-41.0,341.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,2.996,-41.0,350.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,3.013,-41.0,361.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,3.029,-41.0,364.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,3.046,-41.0,364.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,3.062,-41.0,364.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,3.079,-41.0,364.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,3.096,-41.0,364.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,3.112,-41.0,364.0,0,0,0
26ri,181,reaching,reversed,Training,2,-26.05,768.62,3.129,-41.0,364.0,0,0,0
