participant_id,trial_index,task,mapping,phase,block,target_pos_x,target_pos_y,timestamp,current_pos_x,current_pos_y,left_button_pressed,middle_button_pressed,right_button_pressed
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,1.455,-34.0,-817.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,1.472,-34.0,-817.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,1.488,-34.0,-817.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,1.505,-33.0,-817.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,1.521,-33.0,-817.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,1.538,-33.0,-817.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,1.555,-33.0,-818.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,1.572,-34.0,-818.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,1.589,-34.0,-819.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,1.605,-34.0,-819.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,1.622,-34.0,-819.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,1.638,-34.0,-819.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,1.655,-33.0,-818.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,1.672,-33.0,-818.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,1.688,-33.0,-817.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,1.705,-33.0,-816.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,1.717,-33.0,-816.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,1.734,-33.0,-816.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,1.75,-33.0,-816.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,1.767,-33.0,-816.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,1.783,-33.0,-816.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,1.8,-33.0,-816.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,1.817,-33.0,-816.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,1.834,-33.0,-816.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,1.85,-33.0,-815.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,1.867,-33.0,-815.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,1.884,-33.0,-815.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,1.901,-34.0,-815.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,1.917,-34.0,-816.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,1.934,-34.0,-816.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,1.95,-34.0,-816.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,1.967,-34.0,-816.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,1.984,-34.0,-816.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,2.0,-34.0,-816.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,2.017,-34.0,-817.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,2.034,-34.0,-817.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,2.051,-34.0,-818.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,2.067,-34.0,-817.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,2.084,-35.0,-813.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,2.101,-35.0,-808.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,2.117,-35.0,-796.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,2.134,-35.0,-784.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,2.151,-34.0,-763.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,2.167,-33.0,-745.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,2.184,-33.0,-727.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,2.201,-34.0,-700.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,2.217,-34.0,-678.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,2.234,-34.0,-645.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,2.251,-34.0,-616.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,2.267,-34.0,-585.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,2.284,-34.0,-543.0,0,0,0
32ai,308,avoiding,reversed,Training,5,-26.05,768.62,2.301,-34.0,-513.0,0,0,0
