participant_id,trial_index,task,mapping,phase,block,target_pos_x,target_pos_y,timestamp,current_pos_x,current_pos_y,left_button_pressed,middle_button_pressed,right_button_pressed
35ad,220,avoiding,direct,Training,3,-26.05,768.62,1.639,-36.0,-818.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,1.653,-36.0,-818.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,1.672,-36.0,-818.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,1.688,-36.0,-818.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,1.705,-36.0,-818.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,1.722,-36.0,-818.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,1.738,-36.0,-817.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,1.755,-36.0,-817.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,1.767,-36.0,-817.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,1.784,-36.0,-817.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,1.8,-36.0,-817.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,1.817,-36.0,-817.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,1.834,-36.0,-817.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,1.851,-36.0,-816.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,1.867,-36.0,-816.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,1.884,-36.0,-816.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,1.901,-35.0,-815.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,1.917,-35.0,-815.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,1.934,-35.0,-815.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,1.95,-35.0,-815.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,1.967,-35.0,-815.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,1.984,-35.0,-815.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.001,-35.0,-814.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.017,-35.0,-814.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.034,-35.0,-813.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.051,-35.0,-809.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.068,-35.0,-805.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.084,-34.0,-799.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.101,-34.0,-786.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.118,-33.0,-772.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.134,-32.0,-744.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.151,-32.0,-718.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.167,-32.0,-690.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.184,-33.0,-664.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.201,-33.0,-632.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.218,-33.0,-603.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.234,-33.0,-581.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.251,-34.0,-557.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.268,-34.0,-535.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.284,-34.0,-503.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.301,-34.0,-479.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.317,-34.0,-455.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.334,-34.0,-431.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.351,-35.0,-400.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.368,-35.0,-370.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.384,-35.0,-346.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.401,-35.0,-320.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.417,-35.0,-293.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.434,-35.0,-255.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.451,-35.0,-225.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.467,-35.0,-185.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.484,-35.0,-153.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.501,-36.0,-119.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.518,-36.0,-72.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.534,-36.0,-35.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.551,-36.0,14.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.568,-36.0,49.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.584,-36.0,83.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.601,-36.0,116.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.617,-37.0,159.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.634,-37.0,191.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.651,-37.0,230.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.668,-39.0,263.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.684,-39.0,281.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.701,-39.0,304.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.718,-39.0,324.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.734,-39.0,345.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.751,-39.0,366.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.767,-39.0,392.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.784,-39.0,408.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.801,-39.0,427.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.818,-39.0,439.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.834,-39.0,451.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.851,-39.0,466.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.868,-39.0,478.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.884,-39.0,490.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.901,-39.0,498.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.917,-39.0,504.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.935,-39.0,514.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.951,-39.0,521.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.968,-39.0,528.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,2.984,-39.0,534.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.001,-39.0,541.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.018,-39.0,544.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.034,-39.0,547.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.051,-39.0,548.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.067,-39.0,548.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.084,-39.0,548.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.1,-39.0,548.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.117,-39.0,548.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.134,-39.0,548.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.151,-39.0,548.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.167,-39.0,548.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.184,-39.0,548.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.201,-37.0,548.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.218,-31.0,548.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.234,-18.0,550.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.251,-8.0,552.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.268,-1.0,553.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.284,5.0,554.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.301,10.0,554.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.318,14.0,555.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.334,21.0,558.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.351,24.0,559.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.367,25.0,560.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.384,25.0,560.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.401,26.0,561.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.418,28.0,563.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.434,31.0,567.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.451,32.0,571.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.468,32.0,573.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.484,33.0,578.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.501,33.0,581.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.518,32.0,591.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.534,32.0,604.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.551,33.0,616.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.573,33.0,633.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.589,33.0,646.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.606,33.0,658.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.623,33.0,671.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.639,33.0,684.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.656,34.0,700.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.673,34.0,711.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.689,34.0,722.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.706,34.0,738.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.723,35.0,750.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.739,35.0,761.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.756,35.0,771.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.772,35.0,785.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.79,35.0,796.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.806,35.0,806.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.823,35.0,816.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.839,35.0,824.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.856,35.0,834.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.873,35.0,840.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.889,35.0,849.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.906,35.0,856.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.923,35.0,864.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.939,35.0,871.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.956,35.0,882.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.973,35.0,891.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,3.989,36.0,893.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,4.005,36.0,893.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,4.022,36.0,894.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,4.039,36.0,894.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,4.056,36.0,894.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,4.072,36.0,894.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,4.089,36.0,894.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,4.105,36.0,894.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,4.122,36.0,894.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,4.139,36.0,894.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,4.155,36.0,894.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,4.167,36.0,894.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,4.184,36.0,894.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,4.201,36.0,894.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,4.217,36.0,894.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,4.234,36.0,894.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,4.251,36.0,894.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,4.267,36.0,894.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,4.284,36.0,894.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,4.301,36.0,894.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,4.32,35.0,894.0,0,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,4.335,35.0,894.0,1,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,4.351,35.0,894.0,1,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,4.367,35.0,894.0,1,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,4.384,35.0,894.0,1,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,4.401,35.0,893.0,1,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,4.417,35.0,893.0,1,0,0
35ad,220,avoiding,direct,Training,3,-26.05,768.62,4.434,35.0,893.0,1,0,0
