,participant_id,trial_index,task,mapping,phase,block,target_pos_x,target_pos_y,timestamp,current_pos_x,current_pos_y,left_button_pressed,middle_button_pressed,right_button_pressed
0,48ai,13,reaching,reversed,Pre-Test,1,-26.05,101.86,4.601,-31.0,-813.0,0,0,0
1,48ai,13,reaching,reversed,Pre-Test,1,-26.05,101.86,4.617,-31.0,-813.0,0,0,0
2,48ai,13,reaching,reversed,Pre-Test,1,-26.05,101.86,4.635,-31.0,-813.0,0,0,0
3,48ai,13,reaching,reversed,Pre-Test,1,-26.05,101.86,4.651,-31.0,-813.0,0,0,0
4,48ai,13,reaching,reversed,Pre-Test,1,-26.05,101.86,4.667,-31.0,-813.0,0,0,0
5,48ai,13,reaching,reversed,Pre-Test,1,-26.05,101.86,4.684,-31.0,-813.0,0,0,0
6,48ai,13,reaching,reversed,Pre-Test,1,-26.05,101.86,4.701,-31.0,-813.0,0,0,0
7,48ai,13,reaching,reversed,Pre-Test,1,-26.05,101.86,4.719,-31.0,-813.0,0,0,0
8,48ai,13,reaching,reversed,Pre-Test,1,-26.05,101.86,4.734,-31.0,-813.0,0,0,0
9,48ai,13,reaching,reversed,Pre-Test,1,-26.05,101.86,4.751,-31.0,-813.0,0,0,0
10,48ai,13,reaching,reversed,Pre-Test,1,-26.05,101.86,4.767,-31.0,-813.0,0,0,0
11,48ai,13,reaching,reversed,Pre-Test,1,-26.05,101.86,4.784,-31.0,-813.0,0,0,0
12,48ai,13,reaching,reversed,Pre-Test,1,-26.05,101.86,4.801,-30.0,-813.0,0,0,0
13,48ai,13,reaching,reversed,Pre-Test,1,-26.05,101.86,4.817,-30.0,-813.0,0,0,0
14,48ai,13,reaching,reversed,Pre-Test,1,-26.05,101.86,4.834,-30.0,-813.0,0,0,0
15,48ai,13,reaching,reversed,Pre-Test,1,-26.05,101.86,4.851,-30.0,-813.0,0,0,0
16,48ai,13,reaching,reversed,Pre-Test,1,-26.05,101.86,4.868,-30.0,-814.0,0,0,0
17,48ai,13,reaching,reversed,Pre-Test,1,-26.05,101.86,4.889,-30.0,-814.0,0,0,0
18,48ai,13,reaching,reversed,Pre-Test,1,-26.05,101.86,4.906,-30.0,-813.0,0,0,0
19,48ai,13,reaching,reversed,Pre-Test,1,-26.05,101.86,4.919,-30.0,-812.0,0,0,0
20,48ai,13,reaching,reversed,Pre-Test,1,-26.05,101.86,4.94,-31.0,-811.0,0,0,0
21,48ai,13,reaching,reversed,Pre-Test,1,-26.05,101.86,4.952,-31.0,-811.0,0,0,0
22,48ai,13,reaching,reversed,Pre-Test,1,-26.05,101.86,4.972,-31.0,-811.0,0,0,0
23,48ai,13,reaching,reversed,Pre-Test,1,-26.05,101.86,4.989,-31.0,-811.0,0,0,0
24,48ai,13,reaching,reversed,Pre-Test,1,-26.05,101.86,5.006,-31.0,-811.0,0,0,0
25,48ai,13,reaching,reversed,Pre-Test,1,-26.05,101.86,5.019,-31.0,-811.0,0,0,0
26,48ai,13,reaching,reversed,Pre-Test,1,-26.05,101.86,5.039,-31.0,-811.0,0,0,0
27,48ai,13,reaching,reversed,Pre-Test,1,-26.05,101.86,5.055,-31.0,-811.0,0,0,0
28,48ai,13,reaching,reversed,Pre-Test,1,-26.05,101.86,5.072,-31.0,-811.0,0,0,0
29,48ai,13,reaching,reversed,Pre-Test,1,-26.05,101.86,5.089,-31.0,-811.0,0,0,0
