participant_id,trial_index,task,phase,block,target_pos_x,target_pos_y,timestamp,current_pos_x,current_pos_y,left_button_pressed,middle_button_pressed,right_button_pressed
bh,2,avoiding,Pre-Test,1,0,480.0,3.779,-14.0,-487.0,1,0,0
bh,2,avoiding,Pre-Test,1,0,480.0,3.837,-14.0,-487.0,1,0,0
bh,2,avoiding,Pre-Test,1,0,480.0,3.895,-14.0,-487.0,1,0,0
bh,2,avoiding,Pre-Test,1,0,480.0,3.954,-14.0,-487.0,1,0,0
bh,2,avoiding,Pre-Test,1,0,480.0,4.012,-14.0,-487.0,1,0,0
bh,2,avoiding,Pre-Test,1,0,480.0,4.07,-14.0,-487.0,1,0,0
bh,2,avoiding,Pre-Test,1,0,480.0,4.128,-14.0,-486.0,1,0,0
bh,2,avoiding,Pre-Test,1,0,480.0,4.188,-14.0,-479.0,1,0,0
bh,2,avoiding,Pre-Test,1,0,480.0,4.247,-12.0,-468.0,1,0,0
bh,2,avoiding,Pre-Test,1,0,480.0,4.305,-11.0,-451.0,1,0,0
bh,2,avoiding,Pre-Test,1,0,480.0,4.364,-9.0,-432.0,1,0,0
bh,2,avoiding,Pre-Test,1,0,480.0,4.424,-7.0,-412.0,1,0,0
bh,2,avoiding,Pre-Test,1,0,480.0,4.484,-4.0,-391.0,1,0,0
bh,2,avoiding,Pre-Test,1,0,480.0,4.544,-2.0,-369.0,1,0,0
bh,2,avoiding,Pre-Test,1,0,480.0,4.604,-1.0,-345.0,1,0,0
bh,2,avoiding,Pre-Test,1,0,480.0,4.664,0.0,-322.0,1,0,0
bh,2,avoiding,Pre-Test,1,0,480.0,4.725,0.0,-296.0,1,0,0
bh,2,avoiding,Pre-Test,1,0,480.0,4.786,0.0,-272.0,1,0,0
bh,2,avoiding,Pre-Test,1,0,480.0,4.898,1.0,-221.0,1,0,0
bh,2,avoiding,Pre-Test,1,0,480.0,4.956,3.0,-190.0,1,0,0
bh,2,avoiding,Pre-Test,1,0,480.0,5.016,5.0,-156.0,1,0,0
bh,2,avoiding,Pre-Test,1,0,480.0,5.076,8.0,-121.0,1,0,0
bh,2,avoiding,Pre-Test,1,0,480.0,5.136,11.0,-86.0,1,0,0
bh,2,avoiding,Pre-Test,1,0,480.0,5.196,14.0,-51.0,1,0,0
bh,2,avoiding,Pre-Test,1,0,480.0,5.255,16.0,-17.0,1,0,0
bh,2,avoiding,Pre-Test,1,0,480.0,5.314,17.0,17.0,1,0,0
bh,2,avoiding,Pre-Test,1,0,480.0,5.374,19.0,47.0,1,0,0
bh,2,avoiding,Pre-Test,1,0,480.0,5.433,20.0,77.0,1,0,0
bh,2,avoiding,Pre-Test,1,0,480.0,5.493,21.0,109.0,1,0,0
bh,2,avoiding,Pre-Test,1,0,480.0,5.553,23.0,139.0,1,0,0
bh,2,avoiding,Pre-Test,1,0,480.0,5.617,24.0,169.0,1,0,0
bh,2,avoiding,Pre-Test,1,0,480.0,5.679,26.0,195.0,1,0,0
bh,2,avoiding,Pre-Test,1,0,480.0,5.742,28.0,218.0,1,0,0
bh,2,avoiding,Pre-Test,1,0,480.0,5.804,31.0,240.0,1,0,0
bh,2,avoiding,Pre-Test,1,0,480.0,5.863,33.0,262.0,1,0,0
bh,2,avoiding,Pre-Test,1,0,480.0,5.923,35.0,282.0,1,0,0
bh,2,avoiding,Pre-Test,1,0,480.0,5.982,37.0,301.0,1,0,0
bh,2,avoiding,Pre-Test,1,0,480.0,6.043,39.0,323.0,1,0,0
bh,2,avoiding,Pre-Test,1,0,480.0,6.104,39.0,340.0,1,0,0
bh,2,avoiding,Pre-Test,1,0,480.0,6.164,39.0,353.0,1,0,0
bh,2,avoiding,Pre-Test,1,0,480.0,6.225,39.0,362.0,1,0,0
bh,2,avoiding,Pre-Test,1,0,480.0,6.284,39.0,368.0,1,0,0
bh,2,avoiding,Pre-Test,1,0,480.0,6.344,39.0,371.0,1,0,0
bh,2,avoiding,Pre-Test,1,0,480.0,6.404,39.0,374.0,1,0,0
bh,2,avoiding,Pre-Test,1,0,480.0,6.464,40.0,379.0,1,0,0
bh,2,avoiding,Pre-Test,1,0,480.0,6.523,40.0,382.0,1,0,0
bh,2,avoiding,Pre-Test,1,0,480.0,6.583,40.0,383.0,0,0,0
