participant_id,trial_index,task,mappingphase,block,target_pos_x,target_pos_y,timestamp,current_pos_x,current_pos_y,left_button_pressed,middle_button_pressed,right_button_pressed
deniz2,14,avoiding,None,Pre-Test,1,-26.05,-342.64,2.457,-36.0,-825.0,1,0,0
deniz2,14,avoiding,None,Pre-Test,1,-26.05,-342.64,2.56,-36.0,-825.0,1,0,0
deniz2,14,avoiding,None,Pre-Test,1,-26.05,-342.64,2.661,-36.0,-821.0,1,0,0
deniz2,14,avoiding,None,Pre-Test,1,-26.05,-342.64,2.767,-36.0,-759.0,1,0,0
deniz2,14,avoiding,None,Pre-Test,1,-26.05,-342.64,2.868,-36.0,-694.0,1,0,0
deniz2,14,avoiding,None,Pre-Test,1,-26.05,-342.64,2.968,-36.0,-637.0,1,0,0
deniz2,14,avoiding,None,Pre-Test,1,-26.05,-342.64,3.07,-36.0,-586.0,1,0,0
deniz2,14,avoiding,None,Pre-Test,1,-26.05,-342.64,3.177,-36.0,-552.0,1,0,0
deniz2,14,avoiding,None,Pre-Test,1,-26.05,-342.64,3.28,-36.0,-504.0,1,0,0
deniz2,14,avoiding,None,Pre-Test,1,-26.05,-342.64,3.388,-36.0,-456.0,1,0,0
deniz2,14,avoiding,None,Pre-Test,1,-26.05,-342.64,3.495,-36.0,-411.0,1,0,0
deniz2,14,avoiding,None,Pre-Test,1,-26.05,-342.64,3.598,-36.0,-373.0,1,0,0
deniz2,14,avoiding,None,Pre-Test,1,-26.05,-342.64,3.701,-36.0,-341.0,1,0,0
deniz2,14,avoiding,None,Pre-Test,1,-26.05,-342.64,3.805,-36.0,-308.0,1,0,0
deniz2,14,avoiding,None,Pre-Test,1,-26.05,-342.64,3.904,-36.0,-279.0,1,0,0
deniz2,14,avoiding,None,Pre-Test,1,-26.05,-342.64,4.005,-36.0,-268.0,1,0,0
deniz2,14,avoiding,None,Pre-Test,1,-26.05,-342.64,4.107,-36.0,-268.0,1,0,0
deniz2,14,avoiding,None,Pre-Test,1,-26.05,-342.64,4.206,-36.0,-268.0,1,0,0
deniz2,14,avoiding,None,Pre-Test,1,-26.05,-342.64,4.306,-36.0,-268.0,1,0,0
deniz2,14,avoiding,None,Pre-Test,1,-26.05,-342.64,4.404,-33.0,-267.0,1,0,0
deniz2,14,avoiding,None,Pre-Test,1,-26.05,-342.64,4.507,-11.0,-260.0,1,0,0
deniz2,14,avoiding,None,Pre-Test,1,-26.05,-342.64,4.615,20.0,-243.0,1,0,0
deniz2,14,avoiding,None,Pre-Test,1,-26.05,-342.64,4.719,36.0,-216.0,1,0,0
deniz2,14,avoiding,None,Pre-Test,1,-26.05,-342.64,4.825,36.0,-155.0,1,0,0
deniz2,14,avoiding,None,Pre-Test,1,-26.05,-342.64,4.93,37.0,-38.0,1,0,0
deniz2,14,avoiding,None,Pre-Test,1,-26.05,-342.64,5.035,37.0,121.0,1,0,0
deniz2,14,avoiding,None,Pre-Test,1,-26.05,-342.64,5.143,37.0,306.0,1,0,0
deniz2,14,avoiding,None,Pre-Test,1,-26.05,-342.64,5.251,38.0,467.0,1,0,0
deniz2,14,avoiding,None,Pre-Test,1,-26.05,-342.64,5.351,38.0,592.0,1,0,0
deniz2,14,avoiding,None,Pre-Test,1,-26.05,-342.64,5.455,38.0,704.0,1,0,0
deniz2,14,avoiding,None,Pre-Test,1,-26.05,-342.64,5.556,38.0,796.0,1,0,0
deniz2,14,avoiding,None,Pre-Test,1,-26.05,-342.64,5.663,38.0,879.0,1,0,0
deniz2,14,avoiding,None,Pre-Test,1,-26.05,-342.64,5.768,38.0,899.0,0,0,0
