participant_id,trial_index,task,mappingphase,block,target_pos_x,target_pos_y,timestamp,current_pos_x,current_pos_y,left_button_pressed,middle_button_pressed,right_button_pressed
denniz,17,avoiding,None,Training,1,-26.05,398.2,6.928,-37.0,-831.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,7.003,-37.0,-831.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,7.077,-37.0,-831.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,7.152,-37.0,-831.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,7.227,-37.0,-829.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,7.303,-36.0,-807.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,7.378,-36.0,-782.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,7.453,-36.0,-758.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,7.533,-36.0,-729.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,7.609,-36.0,-714.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,7.683,-36.0,-711.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,7.759,-36.0,-701.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,7.834,-36.0,-664.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,7.909,-36.0,-614.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,7.988,-37.0,-550.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,8.067,-36.0,-473.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,8.143,-36.0,-404.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,8.219,-36.0,-331.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,8.295,-36.0,-254.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,8.371,-36.0,-183.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,8.446,-36.0,-121.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,8.522,-36.0,-59.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,8.602,-36.0,7.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,8.678,-36.0,63.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,8.753,-36.0,109.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,8.828,-36.0,146.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,8.905,-36.0,179.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,8.98,-36.0,204.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,9.058,-36.0,233.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,9.134,-36.0,263.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,9.209,-36.0,300.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,9.285,-36.0,338.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,9.361,-36.0,374.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,9.437,-36.0,397.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,9.513,-36.0,411.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,9.589,-36.0,416.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,9.67,-36.0,418.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,9.746,-36.0,422.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,9.821,-36.0,425.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,9.896,-36.0,430.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,9.972,-36.0,437.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,10.05,-36.0,440.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,10.126,-35.0,444.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,10.203,-35.0,445.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,10.278,-35.0,446.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,10.353,-35.0,446.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,10.427,-35.0,446.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,10.503,-32.0,443.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,10.579,-28.0,441.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,10.654,-22.0,441.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,10.73,-12.0,442.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,10.806,3.0,449.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,10.883,16.0,455.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,10.959,29.0,457.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,11.036,36.0,458.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,11.113,36.0,458.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,11.189,36.0,459.0,1,0,0
denniz,17,avoiding,None,Training,1,-26.05,398.2,11.267,33.0,484.0,0,0,0
