participant_id,trial_index,task,mappingphase,block,target_pos_x,target_pos_y,timestamp,current_pos_x,current_pos_y,left_button_pressed,middle_button_pressed,right_button_pressed
lkngyue5,7,reaching,None,Pre-Test,1,-26.05,398.2,1.688,-40.0,-831.0,1,0,0
lkngyue5,7,reaching,None,Pre-Test,1,-26.05,398.2,1.748,-39.0,-831.0,1,0,0
lkngyue5,7,reaching,None,Pre-Test,1,-26.05,398.2,1.808,-39.0,-831.0,1,0,0
lkngyue5,7,reaching,None,Pre-Test,1,-26.05,398.2,1.867,-38.0,-775.0,1,0,0
lkngyue5,7,reaching,None,Pre-Test,1,-26.05,398.2,1.926,-38.0,-687.0,1,0,0
lkngyue5,7,reaching,None,Pre-Test,1,-26.05,398.2,1.987,-38.0,-574.0,1,0,0
lkngyue5,7,reaching,None,Pre-Test,1,-26.05,398.2,2.049,-38.0,-425.0,1,0,0
lkngyue5,7,reaching,None,Pre-Test,1,-26.05,398.2,2.119,-37.0,-243.0,1,0,0
lkngyue5,7,reaching,None,Pre-Test,1,-26.05,398.2,2.182,-37.0,-57.0,1,0,0
lkngyue5,7,reaching,None,Pre-Test,1,-26.05,398.2,2.251,-37.0,74.0,1,0,0
lkngyue5,7,reaching,None,Pre-Test,1,-26.05,398.2,2.314,-37.0,140.0,1,0,0
lkngyue5,7,reaching,None,Pre-Test,1,-26.05,398.2,2.378,-37.0,177.0,1,0,0
lkngyue5,7,reaching,None,Pre-Test,1,-26.05,398.2,2.443,-37.0,213.0,1,0,0
lkngyue5,7,reaching,None,Pre-Test,1,-26.05,398.2,2.506,-37.0,245.0,1,0,0
lkngyue5,7,reaching,None,Pre-Test,1,-26.05,398.2,2.569,-37.0,284.0,1,0,0
lkngyue5,7,reaching,None,Pre-Test,1,-26.05,398.2,2.633,-37.0,322.0,1,0,0
lkngyue5,7,reaching,None,Pre-Test,1,-26.05,398.2,2.698,-36.0,365.0,1,0,0
lkngyue5,7,reaching,None,Pre-Test,1,-26.05,398.2,2.76,-36.0,375.0,1,0,0
lkngyue5,7,reaching,None,Pre-Test,1,-26.05,398.2,2.819,-36.0,376.0,1,0,0
lkngyue5,7,reaching,None,Pre-Test,1,-26.05,398.2,2.88,-36.0,378.0,1,0,0
lkngyue5,7,reaching,None,Pre-Test,1,-26.05,398.2,2.939,-36.0,378.0,1,0,0
lkngyue5,7,reaching,None,Pre-Test,1,-26.05,398.2,2.998,-36.0,380.0,1,0,0
lkngyue5,7,reaching,None,Pre-Test,1,-26.05,398.2,3.059,-37.0,379.0,1,0,0
lkngyue5,7,reaching,None,Pre-Test,1,-26.05,398.2,3.118,-21.0,368.0,1,0,0
lkngyue5,7,reaching,None,Pre-Test,1,-26.05,398.2,3.227,17.0,381.0,0,0,0
