participant_id,trial_index,task,phase,block,target_pos_x,target_pos_y,timestamp,current_pos_x,current_pos_y,left_button_pressed,middle_button_pressed,right_button_pressed
participantid,1,avoiding,Pre-Test,1,0,30.84,2.68,1.0,-218.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,2.737,1.0,-218.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,2.794,1.0,-218.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,2.854,0.0,-210.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,2.912,-4.0,-189.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,2.969,-6.0,-178.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,3.027,-6.0,-166.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,3.132,-6.0,-137.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,3.19,-6.0,-120.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,3.248,-6.0,-112.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,3.306,-7.0,-99.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,3.367,-7.0,-94.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,3.426,-8.0,-86.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,3.483,-8.0,-82.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,3.54,-8.0,-82.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,3.597,-8.0,-82.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,3.654,-5.0,-84.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,3.712,-2.0,-84.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,3.769,5.0,-83.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,3.826,6.0,-83.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,3.886,6.0,-85.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,3.944,7.0,-86.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,4.002,7.0,-87.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,4.06,7.0,-87.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,4.118,7.0,-88.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,4.176,9.0,-89.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,4.235,9.0,-90.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,4.294,10.0,-90.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,4.351,17.0,-78.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,4.409,19.0,-70.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,4.479,20.0,-54.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,4.536,20.0,-44.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,4.594,18.0,-34.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,4.651,15.0,-28.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,4.709,15.0,-28.0,1,0,0
