participant_id,trial_index,task,mapping,phase,block,target_pos_x,target_pos_y,timestamp,current_pos_x,current_pos_y,left_button_pressed,middle_button_pressed,right_button_pressed
returngghg,2,avoiding,direct,Pre-Test,1,-26.05,-120.39,6.949,-34.0,-826.0,1,0,0
returngghg,2,avoiding,direct,Pre-Test,1,-26.05,-120.39,6.966,-34.0,-826.0,1,0,0
returngghg,2,avoiding,direct,Pre-Test,1,-26.05,-120.39,6.982,-34.0,-826.0,1,0,0
returngghg,2,avoiding,direct,Pre-Test,1,-26.05,-120.39,7.001,-34.0,-826.0,1,0,0
returngghg,2,avoiding,direct,Pre-Test,1,-26.05,-120.39,7.017,-34.0,-826.0,1,0,0
returngghg,2,avoiding,direct,Pre-Test,1,-26.05,-120.39,7.032,-34.0,-826.0,1,0,0
returngghg,2,avoiding,direct,Pre-Test,1,-26.05,-120.39,7.049,-34.0,-826.0,1,0,0
returngghg,2,avoiding,direct,Pre-Test,1,-26.05,-120.39,7.066,-34.0,-825.0,1,0,0
returngghg,2,avoiding,direct,Pre-Test,1,-26.05,-120.39,7.082,-34.0,-825.0,1,0,0
returngghg,2,avoiding,direct,Pre-Test,1,-26.05,-120.39,7.099,-34.0,-825.0,1,0,0
returngghg,2,avoiding,direct,Pre-Test,1,-26.05,-120.39,7.117,-34.0,-825.0,0,0,0
returngghg,2,avoiding,direct,Pre-Test,1,-26.05,-120.39,7.133,-34.0,-824.0,0,0,0
returngghg,2,avoiding,direct,Pre-Test,1,-26.05,-120.39,7.149,-34.0,-822.0,0,0,0
returngghg,2,avoiding,direct,Pre-Test,1,-26.05,-120.39,7.166,-34.0,-818.0,0,0,0
returngghg,2,avoiding,direct,Pre-Test,1,-26.05,-120.39,7.183,-34.0,-813.0,0,0,0
returngghg,2,avoiding,direct,Pre-Test,1,-26.05,-120.39,7.199,-34.0,-802.0,0,0,0
returngghg,2,avoiding,direct,Pre-Test,1,-26.05,-120.39,7.216,-34.0,-792.0,0,0,0
returngghg,2,avoiding,direct,Pre-Test,1,-26.05,-120.39,7.233,-34.0,-780.0,0,0,0
returngghg,2,avoiding,direct,Pre-Test,1,-26.05,-120.39,7.249,-34.0,-765.0,0,0,0
returngghg,2,avoiding,direct,Pre-Test,1,-26.05,-120.39,7.266,-34.0,-748.0,0,0,0
returngghg,2,avoiding,direct,Pre-Test,1,-26.05,-120.39,7.283,-34.0,-719.0,0,0,0
returngghg,2,avoiding,direct,Pre-Test,1,-26.05,-120.39,7.3,-34.0,-694.0,0,0,0
returngghg,2,avoiding,direct,Pre-Test,1,-26.05,-120.39,7.316,-34.0,-666.0,0,0,0
returngghg,2,avoiding,direct,Pre-Test,1,-26.05,-120.39,7.333,-34.0,-636.0,0,0,0
returngghg,2,avoiding,direct,Pre-Test,1,-26.05,-120.39,7.35,-34.0,-582.0,0,0,0
returngghg,2,avoiding,direct,Pre-Test,1,-26.05,-120.39,7.366,-35.0,-542.0,0,0,0
returngghg,2,avoiding,direct,Pre-Test,1,-26.05,-120.39,7.383,-35.0,-511.0,0,0,0
returngghg,2,avoiding,direct,Pre-Test,1,-26.05,-120.39,7.399,-35.0,-477.0,0,0,0
returngghg,2,avoiding,direct,Pre-Test,1,-26.05,-120.39,7.416,-35.0,-443.0,0,0,0
returngghg,2,avoiding,direct,Pre-Test,1,-26.05,-120.39,7.433,-35.0,-398.0,0,0,0
returngghg,2,avoiding,direct,Pre-Test,1,-26.05,-120.39,7.449,-35.0,-356.0,0,0,0
returngghg,2,avoiding,direct,Pre-Test,1,-26.05,-120.39,7.466,-35.0,-322.0,0,0,0
returngghg,2,avoiding,direct,Pre-Test,1,-26.05,-120.39,7.483,-35.0,-292.0,0,0,0
returngghg,2,avoiding,direct,Pre-Test,1,-26.05,-120.39,7.499,-35.0,-263.0,0,0,0
returngghg,2,avoiding,direct,Pre-Test,1,-26.05,-120.39,7.516,-35.0,-225.0,0,0,0
returngghg,2,avoiding,direct,Pre-Test,1,-26.05,-120.39,7.533,-35.0,-196.0,0,0,0
returngghg,2,avoiding,direct,Pre-Test,1,-26.05,-120.39,7.55,-35.0,-167.0,0,0,0
returngghg,2,avoiding,direct,Pre-Test,1,-26.05,-120.39,7.566,-35.0,-141.0,0,0,0
returngghg,2,avoiding,direct,Pre-Test,1,-26.05,-120.39,7.583,-35.0,-113.0,0,0,0
returngghg,2,avoiding,direct,Pre-Test,1,-26.05,-120.39,7.599,-35.0,-99.0,0,0,0
returngghg,2,avoiding,direct,Pre-Test,1,-26.05,-120.39,7.616,-35.0,-93.0,0,0,0
returngghg,2,avoiding,direct,Pre-Test,1,-26.05,-120.39,7.632,-35.0,-93.0,0,0,0
returngghg,2,avoiding,direct,Pre-Test,1,-26.05,-120.39,7.65,-35.0,-93.0,1,0,0
