participant_id,phase,block,task,,diff_mean,diff_variance
12ai,Post-Test,1,avoiding,0,2.238482142857143,83.29733901785715
12ai,Post-Test,1,reaching,0,-0.9810892857142858,85.87051255551948
12ai,Pre-Test,1,avoiding,0,-2.5207321428571428,220.39501663603895
12ai,Pre-Test,1,reaching,0,-5.231571428571428,226.20151388571426
12ai,Recap,1,avoiding,0,1.391675,106.20970381474362
12ai,Training,1,avoiding,0,-0.3853500000000002,183.35746633589739
12ai,Training,2,avoiding,0,-0.2569749999999999,131.90358848653847
12ai,Training,3,avoiding,0,1.1883249999999999,110.6453184301282
12ai,Training,4,avoiding,0,-0.1277749999999998,132.79616279423078
12ai,Training,5,avoiding,0,1.7005500000000002,106.55525784358971
16ai,Post-Test,1,avoiding,0,3.355785714285715,28.396615007792214
16ai,Post-Test,1,reaching,0,2.387571428571429,28.55860061298703
16ai,Pre-Test,1,avoiding,0,5.508071428571428,149.43751792207792
16ai,Pre-Test,1,reaching,0,5.240642857142857,136.02642143376625
16ai,Recap,1,avoiding,0,3.02035,43.64794356666667
16ai,Training,1,avoiding,0,1.34955,112.05098030512822
16ai,Training,2,avoiding,0,1.58325,45.36128121794871
16ai,Training,3,avoiding,0,0.3715,52.29499594871794
16ai,Training,4,avoiding,0,-0.03212500000000007,35.651344881410246
16ai,Training,5,avoiding,0,0.428725,53.705618973717954
20ai,Post-Test,1,avoiding,0,0.6598571428571429,25.25824085194805
20ai,Post-Test,1,reaching,0,3.5501785714285714,29.66076887662338
20ai,Pre-Test,1,avoiding,0,1.4965892857142862,176.4009202464286
20ai,Pre-Test,1,reaching,0,-2.9903571428571434,213.52510139740258
20ai,Recap,1,avoiding,0,0.9158249999999999,26.63201958397436
20ai,Training,1,avoiding,0,1.51315,63.35561295128207
20ai,Training,2,avoiding,0,0.5849750000000002,23.935246486538464
20ai,Training,3,avoiding,0,3.37465,34.79106520769231
20ai,Training,4,avoiding,0,0.1651250000000004,42.09963452243589
20ai,Training,5,avoiding,0,0.03255000000000034,28.105164715384618
24ai,Post-Test,1,avoiding,0,0.8008928571428574,11.428913370129871
24ai,Post-Test,1,reaching,0,-0.22880357142857116,38.99570317889611
24ai,Pre-Test,1,avoiding,0,1.1502857142857141,80.96346104415584
24ai,Pre-Test,1,reaching,0,4.851464285714286,74.17981312597402
24ai,Recap,1,avoiding,0,-0.446875,34.539509804487174
24ai,Training,1,avoiding,0,1.3045250000000004,71.93253266602564
24ai,Training,2,avoiding,0,-0.24312500000000004,13.824911291666668
24ai,Training,3,avoiding,0,0.9044750000000004,28.19603671730768
24ai,Training,4,avoiding,0,-0.6872999999999998,18.068564728205132
24ai,Training,5,avoiding,0,0.3775749999999999,29.779965327564106
28ai,Post-Test,1,avoiding,0,2.060910714285715,60.956422810064936
28ai,Post-Test,1,reaching,0,2.7565892857142855,48.01235973733766
28ai,Pre-Test,1,avoiding,0,0.8447321428571427,174.03656430876617
28ai,Pre-Test,1,reaching,0,2.924035714285714,161.78265570779217
28ai,Recap,1,avoiding,0,4.268675,44.62573114807694
28ai,Training,1,avoiding,0,2.72275,33.30610824358974
28ai,Training,2,avoiding,0,3.4273499999999997,28.106775771794872
28ai,Training,3,avoiding,0,1.6899749999999998,40.04279294807691
28ai,Training,4,avoiding,0,2.66885,36.953515310256414
28ai,Training,5,avoiding,0,1.7662,53.49186436923077
32ai,Post-Test,1,avoiding,0,-1.5749107142857142,43.252447864610396
32ai,Post-Test,1,reaching,0,-0.32564285714285707,55.11915928831169
32ai,Pre-Test,1,avoiding,0,1.4988392857142856,181.16750806461036
32ai,Pre-Test,1,reaching,0,2.1563749999999997,216.13749507500006
32ai,Recap,1,avoiding,0,2.575625,23.043125163461536
32ai,Training,1,avoiding,0,3.4711,191.32514465641026
32ai,Training,2,avoiding,0,0.49677499999999986,76.85528925576925
32ai,Training,3,avoiding,0,0.8959750000000003,50.36642130705128
32ai,Training,4,avoiding,0,1.072175,22.922692045512818
32ai,Training,5,avoiding,0,1.6511750000000003,33.95958153269231
36ai,Post-Test,1,avoiding,0,2.9550000000000005,14.015286727272725
36ai,Post-Test,1,reaching,0,-0.2579107142857144,16.477476737337668
36ai,Pre-Test,1,avoiding,0,2.539857142857143,210.59670670649353
36ai,Pre-Test,1,reaching,0,-1.3105535714285714,191.65046879707796
36ai,Recap,1,avoiding,0,1.4338000000000002,23.189439753846155
36ai,Training,1,avoiding,0,2.57245,196.16520143333338
36ai,Training,2,avoiding,0,0.3083500000000002,146.2738987461538
36ai,Training,3,avoiding,0,0.38412499999999966,102.52275800961534
36ai,Training,4,avoiding,0,2.293075,26.374522583974368
36ai,Training,5,avoiding,0,1.4053999999999998,40.91546034871794
4ai,Post-Test,1,avoiding,0,2.6309285714285715,41.67167384935065
4ai,Post-Test,1,reaching,0,4.486017857142857,57.27443547240261
4ai,Pre-Test,1,avoiding,0,4.686357142857143,42.59572557922078
4ai,Pre-Test,1,reaching,0,-0.5440892857142862,148.76369051915586
4ai,Recap,1,avoiding,0,3.2207749999999997,42.98698074294872
4ai,Training,1,avoiding,0,2.7554499999999997,52.19945168974357
4ai,Training,2,avoiding,0,3.7365000000000004,40.116516
4ai,Training,3,avoiding,0,2.597075,46.415471455769236
4ai,Training,4,avoiding,0,2.981975,42.017005819871805
4ai,Training,5,avoiding,0,2.3137250000000003,42.18731056346154
8ai,Post-Test,1,avoiding,0,2.688303571428571,16.682121960714284
8ai,Post-Test,1,reaching,0,4.684892857142858,29.763050206493507
8ai,Pre-Test,1,avoiding,0,-1.3397678571428568,16.939178145129873
8ai,Pre-Test,1,reaching,0,5.857875,20.334285493181824
8ai,Recap,1,avoiding,0,-0.128425,24.772190148076923
8ai,Training,1,avoiding,0,-0.2904749999999999,23.587321948076927
8ai,Training,2,avoiding,0,0.74535,32.04674766923076
8ai,Training,3,avoiding,0,0.37104999999999994,26.260145484615386
8ai,Training,4,avoiding,0,0.2804499999999996,32.02313174102563
8ai,Training,5,avoiding,0,0.07867499999999994,27.638583507051273
