participant_id,phase,block,task,,diff_mean,diff_variance,mapping,natural_mapping
10ri,Post-Test,1,avoiding,0,-0.8318392857142858,30.497206537337657,reversed,direct
10ri,Post-Test,1,reaching,0,-3.6931071428571434,25.673362242857134,reversed,direct
10ri,Pre-Test,1,avoiding,0,4.054482142857142,114.23321927240258,reversed,direct
10ri,Pre-Test,1,reaching,0,1.3635892857142855,126.07032315551947,reversed,direct
10ri,Recap,1,reaching,0,0.4078749999999993,23.20517498397436,reversed,direct
10ri,Training,1,reaching,0,1.3850999999999998,78.04307311794871,reversed,direct
10ri,Training,2,reaching,0,-0.1007000000000006,24.00141416410256,reversed,direct
10ri,Training,3,reaching,0,1.6758249999999997,21.75842907115385,reversed,direct
10ri,Training,4,reaching,0,0.8362999999999998,14.575746164102565,reversed,direct
10ri,Training,5,reaching,0,-0.029400000000000315,42.910844553846154,reversed,direct
14ri,Post-Test,1,avoiding,0,-1.1026250000000002,82.90884485681819,reversed,direct
14ri,Post-Test,1,reaching,0,-0.544607142857143,109.0454846064935,reversed,direct
14ri,Pre-Test,1,avoiding,0,1.722446428571428,164.35789810616888,reversed,direct
14ri,Pre-Test,1,reaching,0,-3.1793392857142857,176.28377342824675,reversed,direct
14ri,Recap,1,reaching,0,0.8662999999999993,97.83729083076922,reversed,direct
14ri,Training,1,reaching,0,1.5474499999999995,197.606441176923,reversed,direct
14ri,Training,2,reaching,0,-1.098625,126.80934906089738,reversed,direct
14ri,Training,3,reaching,0,-2.9511750000000005,113.50620737884616,reversed,direct
14ri,Training,4,reaching,0,0.1195249999999997,123.81050651217946,reversed,direct
14ri,Training,5,reaching,0,1.098374999999999,105.2085183429487,reversed,direct
18ri,Post-Test,1,avoiding,0,3.500553571428571,32.12855734253247,reversed,direct
18ri,Post-Test,1,reaching,0,1.9467678571428573,24.971321017857143,reversed,direct
18ri,Pre-Test,1,avoiding,0,9.724285714285713,86.35692529870131,reversed,direct
18ri,Pre-Test,1,reaching,0,7.84130357142857,95.27760377889608,reversed,direct
18ri,Recap,1,reaching,0,-0.9114000000000002,34.80568378461538,reversed,direct
18ri,Training,1,reaching,0,4.068199999999999,112.43295042051282,reversed,direct
18ri,Training,2,reaching,0,1.2728999999999995,42.71168101538461,reversed,direct
18ri,Training,3,reaching,0,2.3714499999999994,63.89963153589742,reversed,direct
18ri,Training,4,reaching,0,0.39092499999999963,38.11370284038461,reversed,direct
18ri,Training,5,reaching,0,-1.6124250000000004,42.81573158397435,reversed,direct
22ri,Post-Test,1,avoiding,0,2.3762678571428566,20.830767036038957,reversed,direct
22ri,Post-Test,1,reaching,0,1.0644642857142854,27.149588507792203,reversed,direct
22ri,Pre-Test,1,avoiding,0,0.4405892857142852,129.97116784642859,reversed,direct
22ri,Pre-Test,1,reaching,0,4.087446428571428,124.37148068798697,reversed,direct
22ri,Recap,1,reaching,0,2.437499999999999,21.35123323076923,reversed,direct
22ri,Training,1,reaching,0,3.3348999999999998,138.20316393846153,reversed,direct
22ri,Training,2,reaching,0,3.1392749999999996,61.54105943525639,reversed,direct
22ri,Training,3,reaching,0,3.1845749999999993,24.53395425064102,reversed,direct
22ri,Training,4,reaching,0,1.7251999999999996,38.11747524102562,reversed,direct
22ri,Training,5,reaching,0,1.3296499999999996,25.01535551538461,reversed,direct
26ri,Post-Test,1,avoiding,0,1.542946428571428,14.402240087987012,reversed,direct
26ri,Post-Test,1,reaching,0,2.550392857142857,9.818750679220775,reversed,direct
26ri,Pre-Test,1,avoiding,0,0.675553571428571,173.44233905162338,reversed,direct
26ri,Pre-Test,1,reaching,0,-0.6274107142857146,227.4603419918831,reversed,direct
26ri,Recap,1,reaching,0,0.3062499999999996,16.77061111538461,reversed,direct
26ri,Training,1,reaching,0,1.4571249999999998,32.17303826602563,reversed,direct
26ri,Training,2,reaching,0,1.2323999999999997,28.810295938461543,reversed,direct
26ri,Training,3,reaching,0,1.8430499999999994,19.334418048717946,reversed,direct
26ri,Training,4,reaching,0,1.1412499999999994,12.09673137179487,reversed,direct
26ri,Training,5,reaching,0,0.3682999999999995,14.767798369230768,reversed,direct
